ticker,todays_last_price_inr,price_as_of,last_eod_close_inr,tomorrow_buy_trigger_inr,profit_target_inr,qty,amount_inr,note
TORNTPHARM,4572.6,2026-05-25,4572.6,4572.6,4716.18,3,13718,Passes all recommendation gates
ADANIENT,2849.7,2026-05-25,2849.7,2849.65,2939.13,5,14248,Passes all recommendation gates; trigger raised to app safety (> 2849.64)
