ticker,todays_last_price_inr,price_as_of,last_eod_close_inr,tomorrow_buy_trigger_inr,profit_target_inr,qty,amount_inr,note
MAFANG,196.38,2026-05-23,196.38,196.33,202.49,76,14921,Passes all recommendation gates; trigger raised to app safety (> 196.32)
HNGSNGBEES,534.25,2026-05-23,534.25,534.25,551.03,28,14959,Passes all recommendation gates
JUNIORBEES,753.36,2026-05-23,753.36,753.31,776.96,19,14313,Passes all recommendation gates; trigger raised to app safety (> 753.3)
