ticker,todays_last_price_inr,price_as_of,last_eod_close_inr,tomorrow_buy_trigger_inr,profit_target_inr,qty,amount_inr,note
ALV,448.18,2026-05-22,447.95,447.95,462.02,0.11162,50.0,Passes all recommendation gates; trigger raised to app safety (> 385.69)
HAG,102.32,2026-05-22,101.97,102.11,105.32,0.489668,50.0,Passes all recommendation gates
