ticker,todays_last_price_inr,price_as_of,last_eod_close_inr,tomorrow_buy_trigger_inr,profit_target_inr,qty,amount_inr,note
BK,138.98,2026-05-21,138.98,138.98,143.34,0.359764,50.0,Passes all recommendation gates; trigger raised to app safety (> 138.97)
MS,200.51,2026-05-21,200.51,200.51,206.81,0.249364,50.0,Passes all recommendation gates; trigger raised to app safety (> 200.5)
